,dataset_name,smooth,window_size,step_size,metric,roc auc
0,BeetleFly,True,10,2,dtw,0.55
1,BeetleFly,True,10,2,softdtw,0.6499999999999999
2,BeetleFly,True,10,2,euclidean,0.625
3,BirdChicken,True,10,2,dtw,0.5750000000000001
4,BirdChicken,True,10,2,softdtw,0.5249999999999999
5,BirdChicken,True,10,2,euclidean,0.5750000000000001
6,Computers,True,10,2,dtw,0.6440000000000001
7,Computers,True,10,2,softdtw,0.5860000000000001
8,Computers,True,10,2,euclidean,0.526
9,Earthquakes,True,10,2,dtw,0.5220021037868163
10,Earthquakes,True,10,2,softdtw,0.5345371669004207
11,Earthquakes,True,10,2,euclidean,0.5386716923796167
12,MoteStrain,True,10,2,dtw,0.825636976336438
13,MoteStrain,True,10,2,softdtw,0.874673895472463
14,MoteStrain,True,10,2,euclidean,0.8375719668237607
15,PhalangesOutlinesCorrect,True,10,2,dtw,0.5790709658421672
16,PhalangesOutlinesCorrect,True,10,2,softdtw,0.5738607921083628
17,PhalangesOutlinesCorrect,True,10,2,euclidean,0.5664090106007067
18,ProximalPhalanxOutlineCorrect,True,10,2,dtw,0.6825492689129052
19,ProximalPhalanxOutlineCorrect,True,10,2,softdtw,0.6706929434202161
20,ProximalPhalanxOutlineCorrect,True,10,2,euclidean,0.6773998728544183
21,ShapeletSim,True,10,2,dtw,0.595
22,ShapeletSim,True,10,2,softdtw,0.6749999999999999
23,ShapeletSim,True,10,2,euclidean,0.555
24,ItalyPowerDemand,True,10,2,dtw,0.583552278865013
25,ItalyPowerDemand,True,10,2,softdtw,0.5124540880377485
26,ItalyPowerDemand,True,10,2,euclidean,0.5069696273430502
27,WormsTwoClass,True,10,2,dtw,0.547965026784065
28,WormsTwoClass,True,10,2,softdtw,0.5797364694292223
29,WormsTwoClass,True,10,2,euclidean,0.5366356751431561
